Number	|	Question	|	Answer	|	Step 1	|	Step 2	|	Step 3	|	Step 4	|	Step 5	|	Type	|	Skill	|	Grade
	|	What is  786 divided by  8 equal to?	|	786 divided by  8 is equal to 98 with a remainder of 2	|	"The first two digits of the dividend, 78,  are divisible by 8, as 8 times 9 equals 72, which when subtracted leaves a remainder of 6"	|	"Then take the remainder from the first step, 6 , and the next digit from the dividend, which, together, gives you 66 which is divisible by 8, as 8 times 8 equals 64, which when subtracted leaves a remainder of 2"	|		|		|		|	LONG DIVISION	|	DIVISION	|	5
	|	What is  730 divided by  6 equal to?	|	730 divided by  6 is equal to 121 with a remainder of 4	|	"The first digit of the dividend, 7,  is divisible by 6, as 6 times 1 equals 6, which when subtracted leaves a remainder of 1"	|	"Then take the remainder from the first step, 1 , and the next digit from the dividend, which, together, gives you 13 which is divisible by 6, as 6 times 2 equals 12, which when subtracted leaves a remainder of 1"	|	"Then take the remainder from the second step, 1, and the next digit from the dividend, which, together, gives you 10 which is divisible by 6, as 6 times 1 equals 6, which when subtracted leaves a remainder of 4"	|		|		|	LONG DIVISION	|	DIVISION	|	5
	|	What is  556 divided by  6 equal to?	|	556 divided by  6 is equal to 92 with a remainder of 4	|	"The first two digits of the dividend, 55,  are divisible by 6, as 6 times 9 equals 54, which when subtracted leaves a remainder of 1"	|	"Then take the remainder from the first step, 1 , and the next digit from the dividend, which, together, gives you 16 which is divisible by 6, as 6 times 2 equals 12, which when subtracted leaves a remainder of 4"	|		|		|		|	LONG DIVISION	|	DIVISION	|	5
	|	What is  628 divided by  3 equal to?	|	628 divided by  3 is equal to 209 with a remainder of 1	|	"The first digit of the dividend, 6,  is divisible by 3, as 3 times 2 equals 6, which when subtracted leaves a remainder of 0"	|	"Then, as the remainder was 0 which, taken together with the next digit, equals 2 is not divisible by 3,  you need to add a zero to the quotient, and 2 becomes the remainder, and move to the next step"	|	"Then take the remainder from the second step, 2, and the next digit from the dividend, which, together, gives you 28 which is divisible by 3, as 3 times 9 equals 27, which when subtracted leaves a remainder of 1"	|		|		|	LONG DIVISION	|	DIVISION	|	5
	|	What is  454 divided by  12 equal to?	|	454 divided by  12 is equal to 37 with a remainder of 10	|	"The first two digits of the dividend, 45,  are divisible by 12, as 12 times 3 equals 36, which when subtracted leaves a remainder of 9"	|	"Then take the remainder from the first step, 9 , and the next digit from the dividend, which, together, gives you 94 which is divisible by 12, as 12 times 7 equals 84, which when subtracted leaves a remainder of 10"	|		|		|		|	LONG DIVISION	|	DIVISION	|	5
	|	What is  181 divided by  6 equal to?	|	181 divided by  6 is equal to 30 with a remainder of 1	|	"The first two digits of the dividend, 18,  are divisible by 6, as 6 times 3 equals 18, which when subtracted leaves a remainder of 0"	|	"Then, as the remainder was 0 which, taken together with the next digit, equals 1 is not divisible by 6,  you need to add a zero to the quotient, and 1 becomes the remainder, and move to the next step"	|		|		|		|	LONG DIVISION	|	DIVISION	|	5
	|	What is  95 divided by  10 equal to?	|	95 divided by  10 is equal to 9 with a remainder of 5	|	"The first two digits of the dividend, 95,  are divisible by 10, as 10 times 9 equals 90, which when subtracted leaves a remainder of 5"	|		|		|		|		|	LONG DIVISION	|	DIVISION	|	5
	|	What is  126 divided by  10 equal to?	|	126 divided by  10 is equal to 12 with a remainder of 6	|	"The first two digits of the dividend, 12,  are divisible by 10, as 10 times 1 equals 10, which when subtracted leaves a remainder of 2"	|	"Then take the remainder from the first step, 2 , and the next digit from the dividend, which, together, gives you 26 which is divisible by 10, as 10 times 2 equals 20, which when subtracted leaves a remainder of 6"	|		|		|		|	LONG DIVISION	|	DIVISION	|	5
	|	What is  342 divided by  10 equal to?	|	342 divided by  10 is equal to 34 with a remainder of 2	|	"The first two digits of the dividend, 34,  are divisible by 10, as 10 times 3 equals 30, which when subtracted leaves a remainder of 4"	|	"Then take the remainder from the first step, 4 , and the next digit from the dividend, which, together, gives you 42 which is divisible by 10, as 10 times 4 equals 40, which when subtracted leaves a remainder of 2"	|		|		|		|	LONG DIVISION	|	DIVISION	|	5
	|	What is  452 divided by  4 equal to?	|	452 divided by  4 is equal to 113 with a remainder of 0	|	"The first digit of the dividend, 4,  is divisible by 4, as 4 times 1 equals 4, which when subtracted leaves a remainder of 0"	|	"Then take the remainder from the first step, 0 , and the next digit from the dividend, which, together, gives you 5 which is divisible by 4, as 4 times 1 equals 4, which when subtracted leaves a remainder of 1"	|	"Then take the remainder from the second step, 1, and the next digit from the dividend, which, together, gives you 12 which is divisible by 4, as 4 times 3 equals 12, which when subtracted leaves a remainder of 0"	|		|		|	LONG DIVISION	|	DIVISION	|	5
	|	What is  307 divided by  10 equal to?	|	307 divided by  10 is equal to 30 with a remainder of 7	|	"The first two digits of the dividend, 30,  are divisible by 10, as 10 times 3 equals 30, which when subtracted leaves a remainder of 0"	|	"Then, as the remainder was 0 which, taken together with the next digit, equals 7 is not divisible by 10,  you need to add a zero to the quotient, and 7 becomes the remainder, and move to the next step"	|		|		|		|	LONG DIVISION	|	DIVISION	|	5
	|	What is  398 divided by  11 equal to?	|	398 divided by  11 is equal to 36 with a remainder of 2	|	"The first two digits of the dividend, 39,  are divisible by 11, as 11 times 3 equals 33, which when subtracted leaves a remainder of 6"	|	"Then take the remainder from the first step, 6 , and the next digit from the dividend, which, together, gives you 68 which is divisible by 11, as 11 times 6 equals 66, which when subtracted leaves a remainder of 2"	|		|		|		|	LONG DIVISION	|	DIVISION	|	5
	|	What is  355 divided by  4 equal to?	|	355 divided by  4 is equal to 88 with a remainder of 3	|	"The first two digits of the dividend, 35,  are divisible by 4, as 4 times 8 equals 32, which when subtracted leaves a remainder of 3"	|	"Then take the remainder from the first step, 3 , and the next digit from the dividend, which, together, gives you 35 which is divisible by 4, as 4 times 8 equals 32, which when subtracted leaves a remainder of 3"	|		|		|		|	LONG DIVISION	|	DIVISION	|	5
	|	What is  451 divided by  4 equal to?	|	451 divided by  4 is equal to 112 with a remainder of 3	|	"The first digit of the dividend, 4,  is divisible by 4, as 4 times 1 equals 4, which when subtracted leaves a remainder of 0"	|	"Then take the remainder from the first step, 0 , and the next digit from the dividend, which, together, gives you 5 which is divisible by 4, as 4 times 1 equals 4, which when subtracted leaves a remainder of 1"	|	"Then take the remainder from the second step, 1, and the next digit from the dividend, which, together, gives you 11 which is divisible by 4, as 4 times 2 equals 8, which when subtracted leaves a remainder of 3"	|		|		|	LONG DIVISION	|	DIVISION	|	5
	|	What is  98 divided by  7 equal to?	|	98 divided by  7 is equal to 14 with a remainder of 0	|	"The first digit of the dividend, 9,  is divisible by 7, as 7 times 1 equals 7, which when subtracted leaves a remainder of 2"	|	"Then take the remainder from the first step, 2 , and the next digit from the dividend, which, together, gives you 28 which is divisible by 7, as 7 times 4 equals 28, which when subtracted leaves a remainder of 0"	|		|		|		|	LONG DIVISION	|	DIVISION	|	5
	|	What is  349 divided by  9 equal to?	|	349 divided by  9 is equal to 38 with a remainder of 7	|	"The first two digits of the dividend, 34,  are divisible by 9, as 9 times 3 equals 27, which when subtracted leaves a remainder of 7"	|	"Then take the remainder from the first step, 7 , and the next digit from the dividend, which, together, gives you 79 which is divisible by 9, as 9 times 8 equals 72, which when subtracted leaves a remainder of 7"	|		|		|		|	LONG DIVISION	|	DIVISION	|	5
	|	What is  399 divided by  6 equal to?	|	399 divided by  6 is equal to 66 with a remainder of 3	|	"The first two digits of the dividend, 39,  are divisible by 6, as 6 times 6 equals 36, which when subtracted leaves a remainder of 3"	|	"Then take the remainder from the first step, 3 , and the next digit from the dividend, which, together, gives you 39 which is divisible by 6, as 6 times 6 equals 36, which when subtracted leaves a remainder of 3"	|		|		|		|	LONG DIVISION	|	DIVISION	|	5
	|	What is  82 divided by  5 equal to?	|	82 divided by  5 is equal to 16 with a remainder of 2	|	"The first digit of the dividend, 8,  is divisible by 5, as 5 times 1 equals 5, which when subtracted leaves a remainder of 3"	|	"Then take the remainder from the first step, 3 , and the next digit from the dividend, which, together, gives you 32 which is divisible by 5, as 5 times 6 equals 30, which when subtracted leaves a remainder of 2"	|		|		|		|	LONG DIVISION	|	DIVISION	|	5
	|	What is  373 divided by  2 equal to?	|	373 divided by  2 is equal to 186 with a remainder of 1	|	"The first digit of the dividend, 3,  is divisible by 2, as 2 times 1 equals 2, which when subtracted leaves a remainder of 1"	|	"Then take the remainder from the first step, 1 , and the next digit from the dividend, which, together, gives you 17 which is divisible by 2, as 2 times 8 equals 16, which when subtracted leaves a remainder of 1"	|	"Then take the remainder from the second step, 1, and the next digit from the dividend, which, together, gives you 13 which is divisible by 2, as 2 times 6 equals 12, which when subtracted leaves a remainder of 1"	|		|		|	LONG DIVISION	|	DIVISION	|	5
	|	What is  887 divided by  4 equal to?	|	887 divided by  4 is equal to 221 with a remainder of 3	|	"The first digit of the dividend, 8,  is divisible by 4, as 4 times 2 equals 8, which when subtracted leaves a remainder of 0"	|	"Then take the remainder from the first step, 0 , and the next digit from the dividend, which, together, gives you 8 which is divisible by 4, as 4 times 2 equals 8, which when subtracted leaves a remainder of 0"	|	"Then take the remainder from the second step, 0, and the next digit from the dividend, which, together, gives you 7 which is divisible by 4, as 4 times 1 equals 4, which when subtracted leaves a remainder of 3"	|		|		|	LONG DIVISION	|	DIVISION	|	5
	|	What is  381 divided by  8 equal to?	|	381 divided by  8 is equal to 47 with a remainder of 5	|	"The first two digits of the dividend, 38,  are divisible by 8, as 8 times 4 equals 32, which when subtracted leaves a remainder of 6"	|	"Then take the remainder from the first step, 6 , and the next digit from the dividend, which, together, gives you 61 which is divisible by 8, as 8 times 7 equals 56, which when subtracted leaves a remainder of 5"	|		|		|		|	LONG DIVISION	|	DIVISION	|	5
	|	What is  253 divided by  10 equal to?	|	253 divided by  10 is equal to 25 with a remainder of 3	|	"The first two digits of the dividend, 25,  are divisible by 10, as 10 times 2 equals 20, which when subtracted leaves a remainder of 5"	|	"Then take the remainder from the first step, 5 , and the next digit from the dividend, which, together, gives you 53 which is divisible by 10, as 10 times 5 equals 50, which when subtracted leaves a remainder of 3"	|		|		|		|	LONG DIVISION	|	DIVISION	|	5
	|	What is  39 divided by  8 equal to?	|	39 divided by  8 is equal to 4 with a remainder of 7	|	"The first two digits of the dividend, 39,  are divisible by 8, as 8 times 4 equals 32, which when subtracted leaves a remainder of 7"	|		|		|		|		|	LONG DIVISION	|	DIVISION	|	5
	|	What is  917 divided by  9 equal to?	|	917 divided by  9 is equal to 101 with a remainder of 8	|	"The first digit of the dividend, 9,  is divisible by 9, as 9 times 1 equals 9, which when subtracted leaves a remainder of 0"	|	"Then, as the remainder was 0 which, taken together with the next digit, equals 1 is not divisible by 9,  you need to add a zero to the quotient, and 1 becomes the remainder, and move to the next step"	|	"Then take the remainder from the second step, 1, and the next digit from the dividend, which, together, gives you 17 which is divisible by 9, as 9 times 1 equals 9, which when subtracted leaves a remainder of 8"	|		|		|	LONG DIVISION	|	DIVISION	|	5
	|	What is  207 divided by  10 equal to?	|	207 divided by  10 is equal to 20 with a remainder of 7	|	"The first two digits of the dividend, 20,  are divisible by 10, as 10 times 2 equals 20, which when subtracted leaves a remainder of 0"	|	"Then, as the remainder was 0 which, taken together with the next digit, equals 7 is not divisible by 10,  you need to add a zero to the quotient, and 7 becomes the remainder, and move to the next step"	|		|		|		|	LONG DIVISION	|	DIVISION	|	5
	|	What is  869 divided by  10 equal to?	|	869 divided by  10 is equal to 86 with a remainder of 9	|	"The first two digits of the dividend, 86,  are divisible by 10, as 10 times 8 equals 80, which when subtracted leaves a remainder of 6"	|	"Then take the remainder from the first step, 6 , and the next digit from the dividend, which, together, gives you 69 which is divisible by 10, as 10 times 6 equals 60, which when subtracted leaves a remainder of 9"	|		|		|		|	LONG DIVISION	|	DIVISION	|	5
	|	What is  1001 divided by  5 equal to?	|	1001 divided by  5 is equal to 200 with a remainder of 1	|	"The first two digits of the dividend, 10,  are divisible by 5, as 5 times 2 equals 10, which when subtracted leaves a remainder of 0"	|	"Then, as the remainder was 0 which, taken together with the next digit, equals 0 is not divisible by 5,  you need to add a zero to the quotient, and 0 becomes the remainder, and move to the next step"	|	"Then, as the remainder was 0  which, taken together with the next digit, equals 1 is not divisible by 5,  you need to add a zero to the quotient, and 1 becomes the remainder, and move to the next step"	|		|		|	LONG DIVISION	|	DIVISION	|	5
	|	What is  346 divided by  4 equal to?	|	346 divided by  4 is equal to 86 with a remainder of 2	|	"The first two digits of the dividend, 34,  are divisible by 4, as 4 times 8 equals 32, which when subtracted leaves a remainder of 2"	|	"Then take the remainder from the first step, 2 , and the next digit from the dividend, which, together, gives you 26 which is divisible by 4, as 4 times 6 equals 24, which when subtracted leaves a remainder of 2"	|		|		|		|	LONG DIVISION	|	DIVISION	|	5
	|	What is  784 divided by  5 equal to?	|	784 divided by  5 is equal to 156 with a remainder of 4	|	"The first digit of the dividend, 7,  is divisible by 5, as 5 times 1 equals 5, which when subtracted leaves a remainder of 2"	|	"Then take the remainder from the first step, 2 , and the next digit from the dividend, which, together, gives you 28 which is divisible by 5, as 5 times 5 equals 25, which when subtracted leaves a remainder of 3"	|	"Then take the remainder from the second step, 3, and the next digit from the dividend, which, together, gives you 34 which is divisible by 5, as 5 times 6 equals 30, which when subtracted leaves a remainder of 4"	|		|		|	LONG DIVISION	|	DIVISION	|	5
	|	What is  837 divided by  6 equal to?	|	837 divided by  6 is equal to 139 with a remainder of 3	|	"The first digit of the dividend, 8,  is divisible by 6, as 6 times 1 equals 6, which when subtracted leaves a remainder of 2"	|	"Then take the remainder from the first step, 2 , and the next digit from the dividend, which, together, gives you 23 which is divisible by 6, as 6 times 3 equals 18, which when subtracted leaves a remainder of 5"	|	"Then take the remainder from the second step, 5, and the next digit from the dividend, which, together, gives you 57 which is divisible by 6, as 6 times 9 equals 54, which when subtracted leaves a remainder of 3"	|		|		|	LONG DIVISION	|	DIVISION	|	5
	|	What is  168 divided by  6 equal to?	|	168 divided by  6 is equal to 28 with a remainder of 0	|	"The first two digits of the dividend, 16,  are divisible by 6, as 6 times 2 equals 12, which when subtracted leaves a remainder of 4"	|	"Then take the remainder from the first step, 4 , and the next digit from the dividend, which, together, gives you 48 which is divisible by 6, as 6 times 8 equals 48, which when subtracted leaves a remainder of 0"	|		|		|		|	LONG DIVISION	|	DIVISION	|	5
	|	What is  80 divided by  2 equal to?	|	80 divided by  2 is equal to 40 with a remainder of 0	|	"The first digit of the dividend, 8,  is divisible by 2, as 2 times 4 equals 8, which when subtracted leaves a remainder of 0"	|	"Then, as the remainder was 0 which, taken together with the next digit, equals 0 is not divisible by 2,  you need to add a zero to the quotient, and 0 becomes the remainder, and move to the next step"	|		|		|		|	LONG DIVISION	|	DIVISION	|	5
	|	What is  17 divided by  4 equal to?	|	17 divided by  4 is equal to 4 with a remainder of 1	|	"The first two digits of the dividend, 17,  are divisible by 4, as 4 times 4 equals 16, which when subtracted leaves a remainder of 1"	|		|		|		|		|	LONG DIVISION	|	DIVISION	|	5
	|	What is  63 divided by  11 equal to?	|	63 divided by  11 is equal to 5 with a remainder of 8	|	"The first two digits of the dividend, 63,  are divisible by 11, as 11 times 5 equals 55, which when subtracted leaves a remainder of 8"	|		|		|		|		|	LONG DIVISION	|	DIVISION	|	5
	|	What is  444 divided by  11 equal to?	|	444 divided by  11 is equal to 40 with a remainder of 4	|	"The first two digits of the dividend, 44,  are divisible by 11, as 11 times 4 equals 44, which when subtracted leaves a remainder of 0"	|	"Then, as the remainder was 0 which, taken together with the next digit, equals 4 is not divisible by 11,  you need to add a zero to the quotient, and 4 becomes the remainder, and move to the next step"	|		|		|		|	LONG DIVISION	|	DIVISION	|	5
	|	What is  25 divided by  4 equal to?	|	25 divided by  4 is equal to 6 with a remainder of 1	|	"The first two digits of the dividend, 25,  are divisible by 4, as 4 times 6 equals 24, which when subtracted leaves a remainder of 1"	|		|		|		|		|	LONG DIVISION	|	DIVISION	|	5
	|	What is  812 divided by  9 equal to?	|	812 divided by  9 is equal to 90 with a remainder of 2	|	"The first two digits of the dividend, 81,  are divisible by 9, as 9 times 9 equals 81, which when subtracted leaves a remainder of 0"	|	"Then, as the remainder was 0 which, taken together with the next digit, equals 2 is not divisible by 9,  you need to add a zero to the quotient, and 2 becomes the remainder, and move to the next step"	|		|		|		|	LONG DIVISION	|	DIVISION	|	5
	|	What is  453 divided by  5 equal to?	|	453 divided by  5 is equal to 90 with a remainder of 3	|	"The first two digits of the dividend, 45,  are divisible by 5, as 5 times 9 equals 45, which when subtracted leaves a remainder of 0"	|	"Then, as the remainder was 0 which, taken together with the next digit, equals 3 is not divisible by 5,  you need to add a zero to the quotient, and 3 becomes the remainder, and move to the next step"	|		|		|		|	LONG DIVISION	|	DIVISION	|	5
	|	What is  735 divided by  3 equal to?	|	735 divided by  3 is equal to 245 with a remainder of 0	|	"The first digit of the dividend, 7,  is divisible by 3, as 3 times 2 equals 6, which when subtracted leaves a remainder of 1"	|	"Then take the remainder from the first step, 1 , and the next digit from the dividend, which, together, gives you 13 which is divisible by 3, as 3 times 4 equals 12, which when subtracted leaves a remainder of 1"	|	"Then take the remainder from the second step, 1, and the next digit from the dividend, which, together, gives you 15 which is divisible by 3, as 3 times 5 equals 15, which when subtracted leaves a remainder of 0"	|		|		|	LONG DIVISION	|	DIVISION	|	5
	|	What is  87 divided by  12 equal to?	|	87 divided by  12 is equal to 7 with a remainder of 3	|	"The first two digits of the dividend, 87,  are divisible by 12, as 12 times 7 equals 84, which when subtracted leaves a remainder of 3"	|		|		|		|		|	LONG DIVISION	|	DIVISION	|	5
	|	What is  77 divided by  11 equal to?	|	77 divided by  11 is equal to 7 with a remainder of 0	|	"The first two digits of the dividend, 77,  are divisible by 11, as 11 times 7 equals 77, which when subtracted leaves a remainder of 0"	|		|		|		|		|	LONG DIVISION	|	DIVISION	|	5
	|	What is  914 divided by  11 equal to?	|	914 divided by  11 is equal to 83 with a remainder of 1	|	"The first two digits of the dividend, 91,  are divisible by 11, as 11 times 8 equals 88, which when subtracted leaves a remainder of 3"	|	"Then take the remainder from the first step, 3 , and the next digit from the dividend, which, together, gives you 34 which is divisible by 11, as 11 times 3 equals 33, which when subtracted leaves a remainder of 1"	|		|		|		|	LONG DIVISION	|	DIVISION	|	5
	|	What is  949 divided by  3 equal to?	|	949 divided by  3 is equal to 316 with a remainder of 1	|	"The first digit of the dividend, 9,  is divisible by 3, as 3 times 3 equals 9, which when subtracted leaves a remainder of 0"	|	"Then take the remainder from the first step, 0 , and the next digit from the dividend, which, together, gives you 4 which is divisible by 3, as 3 times 1 equals 3, which when subtracted leaves a remainder of 1"	|	"Then take the remainder from the second step, 1, and the next digit from the dividend, which, together, gives you 19 which is divisible by 3, as 3 times 6 equals 18, which when subtracted leaves a remainder of 1"	|		|		|	LONG DIVISION	|	DIVISION	|	5
	|	What is  173 divided by  6 equal to?	|	173 divided by  6 is equal to 28 with a remainder of 5	|	"The first two digits of the dividend, 17,  are divisible by 6, as 6 times 2 equals 12, which when subtracted leaves a remainder of 5"	|	"Then take the remainder from the first step, 5 , and the next digit from the dividend, which, together, gives you 53 which is divisible by 6, as 6 times 8 equals 48, which when subtracted leaves a remainder of 5"	|		|		|		|	LONG DIVISION	|	DIVISION	|	5
	|	What is  717 divided by  12 equal to?	|	717 divided by  12 is equal to 59 with a remainder of 9	|	"The first two digits of the dividend, 71,  are divisible by 12, as 12 times 5 equals 60, which when subtracted leaves a remainder of 11"	|	"Then take the remainder from the first step, 11 , and the next digit from the dividend, which, together, gives you 117 which is divisible by 12, as 12 times 9 equals 108, which when subtracted leaves a remainder of 9"	|		|		|		|	LONG DIVISION	|	DIVISION	|	5
	|	What is  352 divided by  10 equal to?	|	352 divided by  10 is equal to 35 with a remainder of 2	|	"The first two digits of the dividend, 35,  are divisible by 10, as 10 times 3 equals 30, which when subtracted leaves a remainder of 5"	|	"Then take the remainder from the first step, 5 , and the next digit from the dividend, which, together, gives you 52 which is divisible by 10, as 10 times 5 equals 50, which when subtracted leaves a remainder of 2"	|		|		|		|	LONG DIVISION	|	DIVISION	|	5
	|	What is  992 divided by  3 equal to?	|	992 divided by  3 is equal to 330 with a remainder of 2	|	"The first digit of the dividend, 9,  is divisible by 3, as 3 times 3 equals 9, which when subtracted leaves a remainder of 0"	|	"Then take the remainder from the first step, 0 , and the next digit from the dividend, which, together, gives you 9 which is divisible by 3, as 3 times 3 equals 9, which when subtracted leaves a remainder of 0"	|	"Then, as the remainder was 0  which, taken together with the next digit, equals 2 is not divisible by 3,  you need to add a zero to the quotient, and 2 becomes the remainder, and move to the next step"	|		|		|	LONG DIVISION	|	DIVISION	|	5
	|	What is  189 divided by  10 equal to?	|	189 divided by  10 is equal to 18 with a remainder of 9	|	"The first two digits of the dividend, 18,  are divisible by 10, as 10 times 1 equals 10, which when subtracted leaves a remainder of 8"	|	"Then take the remainder from the first step, 8 , and the next digit from the dividend, which, together, gives you 89 which is divisible by 10, as 10 times 8 equals 80, which when subtracted leaves a remainder of 9"	|		|		|		|	LONG DIVISION	|	DIVISION	|	5
	|	What is  638 divided by  3 equal to?	|	638 divided by  3 is equal to 212 with a remainder of 2	|	"The first digit of the dividend, 6,  is divisible by 3, as 3 times 2 equals 6, which when subtracted leaves a remainder of 0"	|	"Then take the remainder from the first step, 0 , and the next digit from the dividend, which, together, gives you 3 which is divisible by 3, as 3 times 1 equals 3, which when subtracted leaves a remainder of 0"	|	"Then take the remainder from the second step, 0, and the next digit from the dividend, which, together, gives you 8 which is divisible by 3, as 3 times 2 equals 6, which when subtracted leaves a remainder of 2"	|		|		|	LONG DIVISION	|	DIVISION	|	5
	|	What is  673 divided by  3 equal to?	|	673 divided by  3 is equal to 224 with a remainder of 1	|	"The first digit of the dividend, 6,  is divisible by 3, as 3 times 2 equals 6, which when subtracted leaves a remainder of 0"	|	"Then take the remainder from the first step, 0 , and the next digit from the dividend, which, together, gives you 7 which is divisible by 3, as 3 times 2 equals 6, which when subtracted leaves a remainder of 1"	|	"Then take the remainder from the second step, 1, and the next digit from the dividend, which, together, gives you 13 which is divisible by 3, as 3 times 4 equals 12, which when subtracted leaves a remainder of 1"	|		|		|	LONG DIVISION	|	DIVISION	|	5
	|	What is  769 divided by  3 equal to?	|	769 divided by  3 is equal to 256 with a remainder of 1	|	"The first digit of the dividend, 7,  is divisible by 3, as 3 times 2 equals 6, which when subtracted leaves a remainder of 1"	|	"Then take the remainder from the first step, 1 , and the next digit from the dividend, which, together, gives you 16 which is divisible by 3, as 3 times 5 equals 15, which when subtracted leaves a remainder of 1"	|	"Then take the remainder from the second step, 1, and the next digit from the dividend, which, together, gives you 19 which is divisible by 3, as 3 times 6 equals 18, which when subtracted leaves a remainder of 1"	|		|		|	LONG DIVISION	|	DIVISION	|	5
	|	What is  41 divided by  3 equal to?	|	41 divided by  3 is equal to 13 with a remainder of 2	|	"The first digit of the dividend, 4,  is divisible by 3, as 3 times 1 equals 3, which when subtracted leaves a remainder of 1"	|	"Then take the remainder from the first step, 1 , and the next digit from the dividend, which, together, gives you 11 which is divisible by 3, as 3 times 3 equals 9, which when subtracted leaves a remainder of 2"	|		|		|		|	LONG DIVISION	|	DIVISION	|	5
	|	What is  747 divided by  6 equal to?	|	747 divided by  6 is equal to 124 with a remainder of 3	|	"The first digit of the dividend, 7,  is divisible by 6, as 6 times 1 equals 6, which when subtracted leaves a remainder of 1"	|	"Then take the remainder from the first step, 1 , and the next digit from the dividend, which, together, gives you 14 which is divisible by 6, as 6 times 2 equals 12, which when subtracted leaves a remainder of 2"	|	"Then take the remainder from the second step, 2, and the next digit from the dividend, which, together, gives you 27 which is divisible by 6, as 6 times 4 equals 24, which when subtracted leaves a remainder of 3"	|		|		|	LONG DIVISION	|	DIVISION	|	5
	|	What is  783 divided by  3 equal to?	|	783 divided by  3 is equal to 261 with a remainder of 0	|	"The first digit of the dividend, 7,  is divisible by 3, as 3 times 2 equals 6, which when subtracted leaves a remainder of 1"	|	"Then take the remainder from the first step, 1 , and the next digit from the dividend, which, together, gives you 18 which is divisible by 3, as 3 times 6 equals 18, which when subtracted leaves a remainder of 0"	|	"Then take the remainder from the second step, 0, and the next digit from the dividend, which, together, gives you 3 which is divisible by 3, as 3 times 1 equals 3, which when subtracted leaves a remainder of 0"	|		|		|	LONG DIVISION	|	DIVISION	|	5
	|	What is  186 divided by  7 equal to?	|	186 divided by  7 is equal to 26 with a remainder of 4	|	"The first two digits of the dividend, 18,  are divisible by 7, as 7 times 2 equals 14, which when subtracted leaves a remainder of 4"	|	"Then take the remainder from the first step, 4 , and the next digit from the dividend, which, together, gives you 46 which is divisible by 7, as 7 times 6 equals 42, which when subtracted leaves a remainder of 4"	|		|		|		|	LONG DIVISION	|	DIVISION	|	5
	|	What is  636 divided by  9 equal to?	|	636 divided by  9 is equal to 70 with a remainder of 6	|	"The first two digits of the dividend, 63,  are divisible by 9, as 9 times 7 equals 63, which when subtracted leaves a remainder of 0"	|	"Then, as the remainder was 0 which, taken together with the next digit, equals 6 is not divisible by 9,  you need to add a zero to the quotient, and 6 becomes the remainder, and move to the next step"	|		|		|		|	LONG DIVISION	|	DIVISION	|	5
	|	What is  950 divided by  2 equal to?	|	950 divided by  2 is equal to 475 with a remainder of 0	|	"The first digit of the dividend, 9,  is divisible by 2, as 2 times 4 equals 8, which when subtracted leaves a remainder of 1"	|	"Then take the remainder from the first step, 1 , and the next digit from the dividend, which, together, gives you 15 which is divisible by 2, as 2 times 7 equals 14, which when subtracted leaves a remainder of 1"	|	"Then take the remainder from the second step, 1, and the next digit from the dividend, which, together, gives you 10 which is divisible by 2, as 2 times 5 equals 10, which when subtracted leaves a remainder of 0"	|		|		|	LONG DIVISION	|	DIVISION	|	5
	|	What is  588 divided by  10 equal to?	|	588 divided by  10 is equal to 58 with a remainder of 8	|	"The first two digits of the dividend, 58,  are divisible by 10, as 10 times 5 equals 50, which when subtracted leaves a remainder of 8"	|	"Then take the remainder from the first step, 8 , and the next digit from the dividend, which, together, gives you 88 which is divisible by 10, as 10 times 8 equals 80, which when subtracted leaves a remainder of 8"	|		|		|		|	LONG DIVISION	|	DIVISION	|	5
	|	What is  151 divided by  4 equal to?	|	151 divided by  4 is equal to 37 with a remainder of 3	|	"The first two digits of the dividend, 15,  are divisible by 4, as 4 times 3 equals 12, which when subtracted leaves a remainder of 3"	|	"Then take the remainder from the first step, 3 , and the next digit from the dividend, which, together, gives you 31 which is divisible by 4, as 4 times 7 equals 28, which when subtracted leaves a remainder of 3"	|		|		|		|	LONG DIVISION	|	DIVISION	|	5
	|	What is  879 divided by  7 equal to?	|	879 divided by  7 is equal to 125 with a remainder of 4	|	"The first digit of the dividend, 8,  is divisible by 7, as 7 times 1 equals 7, which when subtracted leaves a remainder of 1"	|	"Then take the remainder from the first step, 1 , and the next digit from the dividend, which, together, gives you 17 which is divisible by 7, as 7 times 2 equals 14, which when subtracted leaves a remainder of 3"	|	"Then take the remainder from the second step, 3, and the next digit from the dividend, which, together, gives you 39 which is divisible by 7, as 7 times 5 equals 35, which when subtracted leaves a remainder of 4"	|		|		|	LONG DIVISION	|	DIVISION	|	5
	|	What is  153 divided by  4 equal to?	|	153 divided by  4 is equal to 38 with a remainder of 1	|	"The first two digits of the dividend, 15,  are divisible by 4, as 4 times 3 equals 12, which when subtracted leaves a remainder of 3"	|	"Then take the remainder from the first step, 3 , and the next digit from the dividend, which, together, gives you 33 which is divisible by 4, as 4 times 8 equals 32, which when subtracted leaves a remainder of 1"	|		|		|		|	LONG DIVISION	|	DIVISION	|	5
