
Tempplate Number	|	Question	|	Answer	|	Step 1	| Q D D R M,	Step 2	|	Step 3	|	Step 4	|	Step 5	|	Type	|	Skill	|	Grade
6	|	"if Buddie placed 53 pieces of stationary,  and 45 were calculators, then how many notebooks did he put?"	|	Buddie placed 37 notebooks	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
11	|	"Each child has 11 coral coloured pencils. If there are 8 children, how many coral coloured pencils are there in total?"	|	There are 88 coral coloured pencils in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
12	|	in the desk there are 32 cobalt blue coloured markers. If we remove 27 of the cobalt blue coloured markers how many cobalt blue coloured markers would we have left?	|	There would be  5 cobalt blue coloured markers left in the desk.	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
9	|	"Brit played in 18 basketball games this year. Last year, he played in 69 games. How many basketball games did he play in total?"	|	Brit played in a total of 87 basketball games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
6	|	"if Jenna took photos of 33 insects,  and 18 were bees, then how many caterpillars did she take photos of?"	|	Jenna took photos of 3 caterpillars	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
9	|	"Lashell played in 73 basketball games this year. Last year, she played in 61 games. How many basketball games did she play in total?"	|	Lashell played in a total of 134 basketball games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
6	|	"if Kerstin bought 497 fruit,  and 88 were chili, then how many blueberries did she buy?"	|	Kerstin bought 321 blueberries	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
11	|	"Each child has 8 carmine coloured crayons. If there are 7 children, how many carmine coloured crayons are there in total?"	|	There are 56 carmine coloured crayons in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
5	|	"If Mitchel has 22 chickens, and gives Georges 19 of his chickens, then how many chickens does he have left?"	|	Mitchel has 3 chickens left.	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
12	|	 there are 0 . If we remove 0 of the  how many  would we have left?	|	There would be  0  left .	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
4	|	"If Alf has 40 navy blue coloured markers, and Zerk gives him 12 navy blue coloured markers, then how many navy blue coloured markers does he have altogether?"	|	Alf has a total of 52 navy blue coloured markers	|		|		|		|		|		|	Word Problem	|	addition	|	3
9	|	"Parnell played in 80 basketball games this year. Last year, he played in 75 games. How many basketball games did he play in total?"	|	Parnell played in a total of 155 basketball games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
4	|	"If Silva has 12 pair of mittens, and Melinda gives her 13 pair of mittens, then how many pair of mittens does she have altogether?"	|	Silva has a total of 25 pair of mittens	|		|		|		|		|		|	Word Problem	|	addition	|	3
3	|	"if Prince took photos of 3 horses, and Gay took photos of 2 horses, then how many farm animals did they take photos of altogether?"	|	"Together,  Prince and Gay took photos of 5 farm animals"	|		|		|		|		|		|	Word Problem	|	addition	|	3
11	|	"Each child has 10 flies. If there are 4 children, how many flies are there in total?"	|	There are 40 flies in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
7	|	"Merry played in 3 hockey games this year. Last year, she played in 91 games. How many hockey games did she play in total?"	|	Merry played in a total of 94 hockey games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
10	|	"if Cleo had 55 markers in the desk and 15 were burgundy coloured markers, then how many ocher coloured markers did she have in the desk?"	|	Cleo had 25 ocher coloured markers	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
5	|	"If Yves has 16 hamsters, and gives Nedra 12 of his hamsters, then how many hamsters does he have left?"	|	Yves has 4 hamsters left.	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
11	|	"Each child has 4 rabbits. If there are 3 children, how many rabbits are there in total?"	|	There are 12 rabbits in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
9	|	"Jackson played in 53 basketball games this year. Last year, he played in 73 games. How many basketball games did he play in total?"	|	Jackson played in a total of 126 basketball games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
9	|	"Nico played in 75 basketball games this year. Last year, he played in 67 games. How many basketball games did he play in total?"	|	Nico played in a total of 142 basketball games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
11	|	"Each child has 9 goats. If there are 6 children, how many goats are there in total?"	|	There are 54 goats in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
10	|	"if Cathryn saw 34 insects in the backyard and 21 were flies, then how many flies did she see in the backyard?"	|	Cathryn saw 8 flies	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
11	|	"Each child has 1 cerise coloured markers. If there are 6 children, how many cerise coloured markers are there in total?"	|	There are 6 cerise coloured markers in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
4	|	"If Jamey has 18 pigs, and Ward gives him 13 pigs, then how many pigs does he have altogether?"	|	Jamey has a total of 31 pigs	|		|		|		|		|		|	Word Problem	|	addition	|	3
6	|	"if Lakita counted 26 insects,  and 21 were ladybugs, then how many bugs did she count?"	|	Lakita counted 16 bugs	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
7	|	"Rebeca played in 92 hockey games this year. Last year, she played in 51 games. How many hockey games did she play in total?"	|	Rebeca played in a total of 143 hockey games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
10	|	"if Silvano placed 80 markers in the desk and 41 were blue coloured markers, then how many silver coloured markers did he put in the desk?"	|	Silvano placed 2 silver coloured markers	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
5	|	"If Aluin has 16 rabbits, and gives Isaak 6 of his rabbits, then how many rabbits does he have left?"	|	Aluin has 10 rabbits left.	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
8	|	"Jarvis played in 88 soccer games this year. Last year, he played in 84 games. How many soccer games did he play in total?"	|	Jarvis played in a total of 172 soccer games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
9	|	"Reynold played in 76 basketball games this year. Last year, he played in 35 games. How many basketball games did he play in total?"	|	Reynold played in a total of 111 basketball games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
11	|	"Each child has 3 bilberries. If there are 7 children, how many bilberries are there in total?"	|	There are 21 bilberries in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
5	|	"If Racheal has 24 lavender coloured pencils, and gives Hanson 7 of her lavender coloured pencils, then how many lavender coloured pencils does she have left?"	|	Racheal has 17 lavender coloured pencils left.	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
6	|	"if Daven bought 8 fruit,  and 3 were jettamelons, then how many lemons did he buy?"	|	Daven bought 2 lemons	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
11	|	"Each child has 6 papayas. If there are 4 children, how many papayas are there in total?"	|	There are 24 papayas in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
11	|	"Each child has 5 currant. If there are 1 children, how many currant are there in total?"	|	There are 5 currant in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
7	|	"Antonia played in 29 hockey games this year. Last year, she played in 69 games. How many hockey games did she play in total?"	|	Antonia played in a total of 98 hockey games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
11	|	"Each child has 10 tomato. If there are 3 children, how many tomato are there in total?"	|	There are 30 tomato in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
5	|	"If Adria has 22 ladybugs, and gives Dannel 21 of her ladybugs, then how many ladybugs does she have left?"	|	Adria has 1 ladybugs left.	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
8	|	"Garek played in 12 soccer games this year. Last year, he played in 59 games. How many soccer games did he play in total?"	|	Garek played in a total of 71 soccer games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
11	|	"Each child has 9 erasers. If there are 5 children, how many erasers are there in total?"	|	There are 45 erasers in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
5	|	"If Kareem has 12 ducks, and gives Terrill 9 of his ducks, then how many ducks does he have left?"	|	Kareem has 3 ducks left.	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
8	|	"Justine played in 18 soccer games this year. Last year, she played in 55 games. How many soccer games did she play in total?"	|	Justine played in a total of 73 soccer games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
8	|	"Belen played in 10 soccer games this year. Last year, she played in 92 games. How many soccer games did she play in total?"	|	Belen played in a total of 102 soccer games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
10	|	"if Barrie had 18 markers in the desk and 8 were maroon coloured markers, then how many teal coloured markers did she have in the desk?"	|	Barrie had 2 teal coloured markers	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
12	|	in the desk there are 34 cyan coloured pencils. If we remove 30 of the cyan coloured pencils how many cyan coloured pencils would we have left?	|	There would be  4 cyan coloured pencils left in the desk.	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
6	|	"if Bink sold 688 fruit,  and 452 were gooseberries, then how many lychee did he sell?"	|	Bink sold 216 lychee	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
4	|	"If Jill has 31 magenta coloured markers, and Cort gives her 15 magenta coloured markers, then how many magenta coloured markers does she have altogether?"	|	Jill has a total of 46 magenta coloured markers	|		|		|		|		|		|	Word Problem	|	addition	|	3
4	|	"If Dave has 15 ducks, and Garvy gives him 8 ducks, then how many ducks does he have altogether?"	|	Dave has a total of 23 ducks	|		|		|		|		|		|	Word Problem	|	addition	|	3
3	|	"if Sharyn fed 9 cats, and Racquel fed 14 squirrels, then how many animals did they feed altogether?"	|	"Together,  Sharyn and Racquel fed 23 animals"	|		|		|		|		|		|	Word Problem	|	addition	|	3
8	|	"Maxwell played in 64 soccer games this year. Last year, he played in 65 games. How many soccer games did he play in total?"	|	Maxwell played in a total of 129 soccer games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
11	|	"Each child has 6 dogs. If there are 4 children, how many dogs are there in total?"	|	There are 24 dogs in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
6	|	"if Carlota had 618 fruit,  and 476 were chili, then how many raspberries did she have?"	|	Carlota had 334 raspberries	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
11	|	"Each child has 8 lychee. If there are 5 children, how many lychee are there in total?"	|	There are 40 lychee in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
11	|	"Each child has 8 rabbits. If there are 8 children, how many rabbits are there in total?"	|	There are 64 rabbits in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
11	|	"Each child has 9 jacket. If there are 1 children, how many jacket are there in total?"	|	There are 9 jacket in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
7	|	"Hadrian played in 99 hockey games this year. Last year, he played in 57 games. How many hockey games did he play in total?"	|	Hadrian played in a total of 156 hockey games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
7	|	"Jerrome played in 71 hockey games this year. Last year, he played in 46 games. How many hockey games did he play in total?"	|	Jerrome played in a total of 117 hockey games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
11	|	"Each child has 1 viridian coloured crayons. If there are 6 children, how many viridian coloured crayons are there in total?"	|	There are 6 viridian coloured crayons in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
8	|	"Jerome played in 78 soccer games this year. Last year, he played in 48 games. How many soccer games did he play in total?"	|	Jerome played in a total of 126 soccer games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
4	|	"If Nolly has 25 pair of shoes, and Karl gives him 47 pair of shoes, then how many pair of shoes does he have altogether?"	|	Nolly has a total of 72 pair of shoes	|		|		|		|		|		|	Word Problem	|	addition	|	3
7	|	"Rosella played in 90 hockey games this year. Last year, she played in 41 games. How many hockey games did she play in total?"	|	Rosella played in a total of 131 hockey games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
11	|	"Each child has 9 emerald coloured markers. If there are 7 children, how many emerald coloured markers are there in total?"	|	There are 63 emerald coloured markers in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
5	|	"If Jayne has 20 wolves, and gives Rube 9 of her wolves, then how many wolves does she have left?"	|	Jayne has 11 wolves left.	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
11	|	"Each child has 3 binders. If there are 4 children, how many binders are there in total?"	|	There are 12 binders in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
10	|	"if Renetta fed 13 wild animals at the zoo and 6 were camels, then how many seals did she feed at the zoo?"	|	Renetta fed 1 seals	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
10	|	"if Nam had 884 fruit at the farm and 302 were tomato, then how many raspberries did she have at the farm?"	|	Nam had 280 raspberries	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
11	|	"Each child has 2 rubbers. If there are 10 children, how many rubbers are there in total?"	|	There are 20 rubbers in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
8	|	"Iona played in 38 soccer games this year. Last year, she played in 60 games. How many soccer games did she play in total?"	|	Iona played in a total of 98 soccer games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
5	|	"If Derrick has 47 cobalt blue coloured crayons, and gives Kyle 8 of his cobalt blue coloured crayons, then how many cobalt blue coloured crayons does he have left?"	|	Derrick has 39 cobalt blue coloured crayons left.	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
5	|	"If Maddy has 10 horses, and gives Josh 3 of his horses, then how many horses does he have left?"	|	Maddy has 7 horses left.	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
11	|	"Each child has 4 turtles. If there are 6 children, how many turtles are there in total?"	|	There are 24 turtles in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
7	|	"Delmar played in 88 hockey games this year. Last year, he played in 97 games. How many hockey games did he play in total?"	|	Delmar played in a total of 185 hockey games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
5	|	"If Dulcie has 20 pair of gloves, and gives Caesar 6 of her pair of gloves, then how many pair of gloves does she have left?"	|	Dulcie has 14 pair of gloves left.	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
11	|	"Each child has 3 binders. If there are 5 children, how many binders are there in total?"	|	There are 15 binders in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
9	|	"Eddy played in 43 basketball games this year. Last year, he played in 19 games. How many basketball games did he play in total?"	|	Eddy played in a total of 62 basketball games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
11	|	"Each child has 5 moths. If there are 2 children, how many moths are there in total?"	|	There are 10 moths in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
11	|	"Each child has 6 mangos. If there are 7 children, how many mangos are there in total?"	|	There are 42 mangos in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
11	|	"Each child has 10 azure coloured markers. If there are 8 children, how many azure coloured markers are there in total?"	|	There are 80 azure coloured markers in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
11	|	"Each child has 6 white coloured crayons. If there are 1 children, how many white coloured crayons are there in total?"	|	There are 6 white coloured crayons in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
5	|	"If Janee has 10 wolves, and gives Rodolfo 5 of her wolves, then how many wolves does she have left?"	|	Janee has 5 wolves left.	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
7	|	"King played in 86 hockey games this year. Last year, he played in 80 games. How many hockey games did he play in total?"	|	King played in a total of 166 hockey games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
3	|	"if Pauly placed 52 gray coloured pencils, and Tristam placed 35 magenta coloured pencils, then how many pencils did they put altogether?"	|	"Together,  Pauly and Tristam placed 87 pencils"	|		|		|		|		|		|	Word Problem	|	addition	|	3
5	|	"If Renda has 20 donkeys, and gives Arnoldo 7 of her donkeys, then how many donkeys does she have left?"	|	Renda has 13 donkeys left.	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
8	|	"Johnna played in 69 soccer games this year. Last year, she played in 78 games. How many soccer games did she play in total?"	|	Johnna played in a total of 147 soccer games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
10	|	"if Itch had 1257 fruit at the farm and 414 were blueberries, then how many blueberries did he have at the farm?"	|	Itch had 429 blueberries	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
9	|	"Joslyn played in 20 basketball games this year. Last year, she played in 64 games. How many basketball games did she play in total?"	|	Joslyn played in a total of 84 basketball games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
11	|	"Each child has 5 durian fruits. If there are 10 children, how many durian fruits are there in total?"	|	There are 50 durian fruits in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
9	|	"Archer played in 25 basketball games this year. Last year, he played in 6 games. How many basketball games did he play in total?"	|	Archer played in a total of 31 basketball games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
11	|	"Each child has 2 ducks. If there are 7 children, how many ducks are there in total?"	|	There are 14 ducks in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
6	|	"if Dominic had 66 markers,  and 37 were lavender coloured markers, then how many pink coloured markers did he have?"	|	Dominic had 8 pink coloured markers	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
11	|	"Each child has 2 dogs. If there are 9 children, how many dogs are there in total?"	|	There are 18 dogs in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
8	|	"Larissa played in 26 soccer games this year. Last year, she played in 78 games. How many soccer games did she play in total?"	|	Larissa played in a total of 104 soccer games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
10	|	"if Phineas fed 33 animals in the backyard and 16 were squirrels, then how many rabbits did he feed in the backyard?"	|	Phineas fed 1 rabbits	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
5	|	"If Yul has 23 pineapples, and gives Kippy 7 of his pineapples, then how many pineapples does he have left?"	|	Yul has 16 pineapples left.	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
4	|	"If Witty has 20 kiwi fruits, and Serina gives him 22 kiwi fruits, then how many kiwi fruits does he have altogether?"	|	Witty has a total of 42 kiwi fruits	|		|		|		|		|		|	Word Problem	|	addition	|	3
7	|	"Marin played in 78 hockey games this year. Last year, she played in 11 games. How many hockey games did she play in total?"	|	Marin played in a total of 89 hockey games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
11	|	"Each child has 3 indigo coloured markers. If there are 4 children, how many indigo coloured markers are there in total?"	|	There are 12 indigo coloured markers in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
11	|	"Each child has 5 sharpners. If there are 6 children, how many sharpners are there in total?"	|	There are 30 sharpners in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
12	|	in the desk there are 39 cobalt blue coloured crayons. If we remove 26 of the cobalt blue coloured crayons how many cobalt blue coloured crayons would we have left?	|	There would be  13 cobalt blue coloured crayons left in the desk.	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
8	|	"Carlota played in 5 soccer games this year. Last year, she played in 14 games. How many soccer games did she play in total?"	|	Carlota played in a total of 19 soccer games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
8	|	"Nye played in 81 soccer games this year. Last year, he played in 14 games. How many soccer games did he play in total?"	|	Nye played in a total of 95 soccer games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
9	|	"Brock played in 66 basketball games this year. Last year, he played in 60 games. How many basketball games did he play in total?"	|	Brock played in a total of 126 basketball games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
11	|	"Each child has 9 indigo coloured markers. If there are 6 children, how many indigo coloured markers are there in total?"	|	There are 54 indigo coloured markers in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
11	|	"Each child has 6 ivory coloured markers. If there are 8 children, how many ivory coloured markers are there in total?"	|	There are 48 ivory coloured markers in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
4	|	"If Elsa has 21 puppies, and Karney gives her 4 puppies, then how many puppies does she have altogether?"	|	Elsa has a total of 25 puppies	|		|		|		|		|		|	Word Problem	|	addition	|	3
4	|	"If Felipe has 9 flies, and Temp gives him 19 flies, then how many flies does he have altogether?"	|	Felipe has a total of 28 flies	|		|		|		|		|		|	Word Problem	|	addition	|	3
8	|	"Clarke played in 16 soccer games this year. Last year, he played in 66 games. How many soccer games did he play in total?"	|	Clarke played in a total of 82 soccer games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
5	|	"If Madison has 40 cap, and gives Randy 30 of her cap, then how many cap does she have left?"	|	Madison has 10 cap left.	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
4	|	"If Spense has 38 black coloured pencils, and Rickey gives him 13 black coloured pencils, then how many black coloured pencils does he have altogether?"	|	Spense has a total of 51 black coloured pencils	|		|		|		|		|		|	Word Problem	|	addition	|	3
4	|	"If Andria has 36 pair of mittens, and Elisha gives her 33 pair of mittens, then how many pair of mittens does she have altogether?"	|	Andria has a total of 69 pair of mittens	|		|		|		|		|		|	Word Problem	|	addition	|	3
9	|	"Demetra played in 84 basketball games this year. Last year, she played in 82 games. How many basketball games did she play in total?"	|	Demetra played in a total of 166 basketball games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
9	|	"Car played in 6 basketball games this year. Last year, he played in 36 games. How many basketball games did he play in total?"	|	Car played in a total of 42 basketball games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
4	|	"If Curran has 45 ocher coloured pencils, and Say gives him 25 ocher coloured pencils, then how many ocher coloured pencils does he have altogether?"	|	Curran has a total of 70 ocher coloured pencils	|		|		|		|		|		|	Word Problem	|	addition	|	3
11	|	"Each child has 2 persimmons. If there are 7 children, how many persimmons are there in total?"	|	There are 14 persimmons in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
12	|	in the desk there are 49 maroon coloured markers. If we remove 27 of the maroon coloured markers how many maroon coloured markers would we have left?	|	There would be  22 maroon coloured markers left in the desk.	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
6	|	"if Byrann sold 609 fruit,  and 266 were bilberries, then how many huckleberries did he sell?"	|	Byrann sold 77 huckleberries	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
6	|	"if Isac fed 19 animals,  and 11 were ducks, then how many frogs did he feed?"	|	Isac fed 3 frogs	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
11	|	"Each child has 2 emerald coloured markers. If there are 5 children, how many emerald coloured markers are there in total?"	|	There are 10 emerald coloured markers in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
3	|	"if Cornie had 46 binders, and Byran had 17 folders, then how many pieces of stationary did they have altogether?"	|	"Together,  Cornie and Byran had 63 pieces of stationary"	|		|		|		|		|		|	Word Problem	|	addition	|	3
9	|	"Augusto played in 47 basketball games this year. Last year, he played in 66 games. How many basketball games did he play in total?"	|	Augusto played in a total of 113 basketball games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
10	|	"if Bettie placed 62 crayons in the desk and 32 were carmine coloured crayons, then how many lilac coloured crayons did she put in the desk?"	|	Bettie placed 2 lilac coloured crayons	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
9	|	"Syreeta played in 55 basketball games this year. Last year, she played in 4 games. How many basketball games did she play in total?"	|	Syreeta played in a total of 59 basketball games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
6	|	"if Cameron picked 40 fruit,  and 24 were nectarines, then how many mangos did he pick?"	|	Cameron picked 8 mangos	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
4	|	"If Laurel has 18 goats, and Aylmar gives her 10 goats, then how many goats does she have altogether?"	|	Laurel has a total of 28 goats	|		|		|		|		|		|	Word Problem	|	addition	|	3
8	|	"Ulrike played in 19 soccer games this year. Last year, she played in 39 games. How many soccer games did she play in total?"	|	Ulrike played in a total of 58 soccer games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
11	|	"Each child has 4 lemons. If there are 10 children, how many lemons are there in total?"	|	There are 40 lemons in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
6	|	"if Rhona had 54 crayons,  and 29 were cyan coloured crayons, then how many lemon coloured crayons did she have?"	|	Rhona had 4 lemon coloured crayons	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
7	|	"Neville played in 86 hockey games this year. Last year, he played in 52 games. How many hockey games did he play in total?"	|	Neville played in a total of 138 hockey games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
7	|	"Howard played in 75 hockey games this year. Last year, he played in 88 games. How many hockey games did he play in total?"	|	Howard played in a total of 163 hockey games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
11	|	"Each child has 7 sari. If there are 9 children, how many sari are there in total?"	|	There are 63 sari in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
9	|	"Almeta played in 66 basketball games this year. Last year, she played in 43 games. How many basketball games did she play in total?"	|	Almeta played in a total of 109 basketball games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
5	|	"If Rocio has 6 lavender coloured pencils, and gives Tobin 5 of her lavender coloured pencils, then how many lavender coloured pencils does she have left?"	|	Rocio has 1 lavender coloured pencils left.	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
11	|	"Each child has 10 orange coloured pencils. If there are 6 children, how many orange coloured pencils are there in total?"	|	There are 60 orange coloured pencils in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
4	|	"If Deanne has 21 dragonflies, and Verda gives her 21 dragonflies, then how many dragonflies does she have altogether?"	|	Deanne has a total of 42 dragonflies	|		|		|		|		|		|	Word Problem	|	addition	|	3
7	|	"Ramon played in 88 hockey games this year. Last year, he played in 70 games. How many hockey games did he play in total?"	|	Ramon played in a total of 158 hockey games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
11	|	"Each child has 2 tan coloured pencils. If there are 3 children, how many tan coloured pencils are there in total?"	|	There are 6 tan coloured pencils in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
8	|	"Karrie played in 19 soccer games this year. Last year, she played in 84 games. How many soccer games did she play in total?"	|	Karrie played in a total of 103 soccer games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
7	|	"Allene played in 94 hockey games this year. Last year, she played in 75 games. How many hockey games did she play in total?"	|	Allene played in a total of 169 hockey games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
11	|	"Each child has 6 beige coloured markers. If there are 1 children, how many beige coloured markers are there in total?"	|	There are 6 beige coloured markers in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
11	|	"Each child has 10 pencil cases. If there are 2 children, how many pencil cases are there in total?"	|	There are 20 pencil cases in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
4	|	"If Leeanne has 52 lilac coloured pencils, and Ulick gives her 2 lilac coloured pencils, then how many lilac coloured pencils does she have altogether?"	|	Leeanne has a total of 54 lilac coloured pencils	|		|		|		|		|		|	Word Problem	|	addition	|	3
10	|	"if Reta picked 46 fruit at the grocery store and 25 were lemons, then how many melons did she pick at the grocery store?"	|	Reta picked 4 melons	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
9	|	"Rowen played in 29 basketball games this year. Last year, he played in 2 games. How many basketball games did he play in total?"	|	Rowen played in a total of 31 basketball games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
11	|	"Each child has 6 strawberries. If there are 6 children, how many strawberries are there in total?"	|	There are 36 strawberries in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
11	|	"Each child has 6 rulers. If there are 8 children, how many rulers are there in total?"	|	There are 48 rulers in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
11	|	"Each child has 2 elderberries. If there are 5 children, how many elderberries are there in total?"	|	There are 10 elderberries in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
11	|	"Each child has 6 owls. If there are 10 children, how many owls are there in total?"	|	There are 60 owls in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
4	|	"If Kandy has 21 hamsters, and Brennen gives her 15 hamsters, then how many hamsters does she have altogether?"	|	Kandy has a total of 36 hamsters	|		|		|		|		|		|	Word Problem	|	addition	|	3
